route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
566,0000000622025061320250909,0004255472025061320250909,Piazzale Orsi Stazione Fs,1,D259_R5083c_sub2,1
566,0000000622025061320250909,0004255482025061320250909,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
566,0000000622025061320250909,0004255492025061320250909,Piazzale Orsi Stazione Fs,1,D259_R5083c_sub2,1
563,0000000592025061320250909,0004255592025061320250909,Via Della Cisterna,0,D257_R5081a_sub1,1
512,0000000592025061320250909,0004255602025061320250909,Cisterna Capolinea,1,D48_C5718b_sub2,2
512,0000000592025061320250909,0004255612025061320250909,Toldi,1,D46_C5716b_sub1,2
512,0000000592025061320250909,0004255622025061320250909,Moietto,1,D489_R5702c_sub2,2
512,0000000592025061320250909,0004255632025061320250909,Corso Rosmini Posta,1,D49_C5719b_sub1,2
512,0000000592025061320250909,0004255642025061320250909,Toldi,1,D46_C5716b_sub1,2
512,0000000592025061320250909,0004255652025061320250909,Cisterna Capolinea,1,D505_R5722a_sub1,2
512,0000000592025061320250909,0004255662025061320250909,Corso Rosmini Posta,1,D49_C5719b_sub1,2
512,0000000592025061320250909,0004255672025061320250909,Moietto,1,D489_R5702c_sub2,2
512,0000000822025061320250909,0004255682025061320250909,Toldi,1,D44_C5714b_sub1,2
512,0000000662025061320250909,0004255692025061320250909,Cisterna Capolinea,1,D48_C5718b_sub2,2
512,0000000592025061320250909,0004255702025061320250909,Corso Rosmini Posta,0,D490_R5703a_sub2,2
512,0000000592025061320250909,0004255712025061320250909,Campana Dei Caduti,0,D47_C5717b_sub2,2
512,0000000592025061320250909,0004255722025061320250909,Corso Rosmini Posta,0,D498_R5716a_sub1,2
512,0000000592025061320250909,0004255732025061320250909,Campana Dei Caduti,0,D36_C5701b_sub2,2
512,0000000592025061320250909,0004255742025061320250909,Campana Dei Caduti,0,D36_C5701b_sub2,2
512,0000000592025061320250909,0004255752025061320250909,Corso Rosmini Posta,0,D498_R5716a_sub1,2
512,0000000592025061320250909,0004255762025061320250909,Campana Dei Caduti,0,D49_C5719b_sub2,2
512,0000000592025061320250909,0004255772025061320250909,Campana Dei Caduti,0,D36_C5701b_sub2,2
512,0000000592025061320250909,0004255782025061320250909,Corso Bettini Liceo,0,D489_R5702c_sub1,2
512,0000000822025061320250909,0004255792025061320250909,Corso Rosmini Posta,0,D498_R5716a_sub1,2
512,0000000662025061320250909,0004255802025061320250909,Corso Rosmini Posta,0,D489_R5702c_sub1,2
594,0000000592025061320250909,0004255812025061320250909,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592025061320250909,0004255822025061320250909,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592025061320250909,0004255832025061320250909,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592025061320250909,0004255842025061320250909,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592025061320250909,0004255852025061320250909,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592025061320250909,0004255862025061320250909,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592025061320250909,0004255872025061320250909,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592025061320250909,0004255882025061320250909,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592025061320250909,0004255892025061320250909,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592025061320250909,0004255902025061320250909,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592025061320250909,0004255912025061320250909,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592025061320250909,0004255922025061320250909,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592025061320250909,0004255932025061320250909,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592025061320250909,0004255942025061320250909,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592025061320250909,0004255952025061320250909,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592025061320250909,0004255962025061320250909,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592025061320250909,0004255972025061320250909,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
580,0000000592025061320250909,0004255992025061320250909,Piazzale S.Giorgio Ovest,0,D480_R5647b_Andata_sub1,1
580,0000000592025061320250909,0004256002025061320250909,Baldresca,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256012025061320250909,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256022025061320250909,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256032025061320250909,Baldresca,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256042025061320250909,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256052025061320250909,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256062025061320250909,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256072025061320250909,Baldresca,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256082025061320250909,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256092025061320250909,Baldresca,0,D467_R5625a_Andata_sub2,1
